id_hex,lon,lat,ds_codigo,ds_nome,ds_subpref,iptc_2025,classe_iptc,pop_total,renda_per_capita,decil_renda,pct60,pct60_car,penal_car,dep_pico,deficit
89a81070023ffff,-46.4829908195441,-23.484647541798,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,418,479.0,3.0,24.86935191850194,62.560124691938576,2.515551064497021,13.559114128907934,0.0
89a81070027ffff,-46.4860033671628,-23.4829742265869,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,18,52.7,1.0,1.724190721357654,60.072467368309155,34.84096429947563,29.442251810729932,212.47504706722594
89a8107002bffff,-46.4798885530792,-23.4832509573344,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,7,70.6,1.0,15.833894670436388,63.826830488519256,4.031025329964518,11.145918239070223,0.0
89a81070033ffff,-46.4830805133624,-23.4877172980022,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,973,798.7,6.0,7.3522547264969225,61.74954621238993,8.398722366058625,11.394947832784819,6009.350433911205
89a81070037ffff,-46.4860930748767,-23.4860440303256,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1257,479.1,3.0,9.960768024698062,68.22781928912192,6.84965447643683,13.287427766078721,4484.463116562385
89a8107003bffff,-46.4799782320086,-23.4863207791285,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,620,711.3,6.0,15.136402027514952,62.66645137511222,4.1401154158826605,13.824165082812925,0.0
89a81070043ffff,-46.4678378588271,-23.4899433155219,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,2735,472.6,3.0,4.487355761398417,57.54471728829695,12.823747513694794,11.416235754806968,24727.146600425345
89a81070047ffff,-46.4708505922423,-23.4882703431733,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1703,693.3,6.0,4.242524202968713,57.39038328444019,13.527414468085107,26.759530159058937,15813.778367232242
89a8107004bffff,-46.4647354762507,-23.4885465135101,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,1756,422.5,2.0,7.461441051516303,60.84584161859195,8.1547037895886,11.04791629050702,10653.509678577455
89a8107004fffff,-46.4677482358104,-23.4868735714848,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,841,435.6,2.0,6.034768623200881,59.3525308696893,9.835096351748499,20.4925312878482,6302.110350301903
89a81070053ffff,-46.4679274828841,-23.4930129459997,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,3904,411.5,2.0,5.107869156654069,53.78677239446188,10.530178190722319,12.123287236943055,32873.5962636278
89a81070057ffff,-46.4709402301083,-23.4913400216769,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,2047,456.6,3.0,5.0641368561039775,55.65536058639411,10.990098049840576,12.29471445773872,17326.264781430473
89a8107005bffff,-46.4648250856108,-23.4916162097286,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,1830,482.4,3.0,4.822627103858726,57.75835275386398,11.97653302028055,9.845125465478901,15931.491205191009
89a81070063ffff,-46.4737736350477,-23.4835274530692,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,352,558.0,4.0,10.887320867990844,63.97114130328033,5.8757468507571975,38.21686181467479,929.6457754775354
89a8107006bffff,-46.4706713190766,-23.4821306457887,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,196,133.1,1.0,8.40006793815779,62.20529802089676,7.405332728123023,34.375779755468685,1005.1452446836337
89a81070073ffff,-46.4738632857247,-23.4865972927728,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1506,766.1,6.0,6.066224683504084,61.739349711667224,10.17755736604273,24.763703980941855,11237.975790965382
89a81070077ffff,-46.4768759393005,-23.4849241641073,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,362,745.4,6.0,10.320389650753963,63.89762828815484,6.191396880396542,24.26017187592381,1161.28526746608
89a8107007bffff,-46.4707609552968,-23.4852005514505,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,723,586.6,5.0,5.324970854761391,60.127176071903534,11.291550266071418,33.07034323456166,5931.050354082674
89a81070083ffff,-46.4803369574751,-23.4985989295874,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,769,710.7,6.0,7.177585491737079,64.18783860759129,8.942817704015518,14.029911019535318,4883.745599061375
89a81070087ffff,-46.4833496002288,-23.4969258838329,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,819,717.0,6.0,5.7294513069429795,62.64057017214466,10.933083608937647,13.31291988483159,6387.306221964399
89a8107008bffff,-46.477234606084,-23.4972025779665,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1367,693.3,6.0,7.613984168560578,61.50806534541585,8.078302237531963,11.73829921620327,8084.951765501261
89a8107008fffff,-46.480247274989,-23.4955295623817,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1273,702.6,6.0,5.605475723084993,61.66436354771211,11.00073688549933,7.460669926406663,10085.831688166576
89a81070093ffff,-46.4804266410205,-23.5016681829704,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1631,851.4,7.0,6.62821651937104,65.08429299832581,9.819276845908126,10.280908326324642,11254.13402158714
89a81070097ffff,-46.4834392976066,-23.4999951849484,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1637,586.0,5.0,5.654002978649163,63.5352336760667,11.23721262899765,17.823391320050565,12890.32244864985
89a8107009bffff,-46.4773242749955,-23.5002718971971,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,750,687.2,6.0,7.877591153250228,62.154344402554386,7.890019067175125,18.228480266352225,4238.076637214984
89a810700a3ffff,-46.4862724926041,-23.4921832969249,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,2520,436.6,2.0,6.353517590552436,64.53766812672083,10.157785385325313,18.309245523540074,18080.60287904078
89a810700a7ffff,-46.4892850415953,-23.4905100469783,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,2930,437.5,2.0,10.481251725894952,67.81244908970956,6.4698807798091815,15.69620253164557,8928.027251537496
89a810700abffff,-46.4831702082597,-23.4907869402204,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1356,568.1,4.0,5.800046909680379,59.541902707474236,10.265762266180602,12.80167183497371,10479.592554365407
89a810700afffff,-46.4861827834073,-23.4891137206947,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,4012,512.2,4.0,5.924282460978887,59.30316594126123,10.010185424457696,13.39470337811688,30507.559098067974
89a810700b3ffff,-46.4863622028618,-23.4952527597766,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1408,540.0,4.0,5.83190736377995,65.26254400671063,11.19060025062036,22.072276335757863,10836.60531583908
89a810700b7ffff,-46.489374765496,-23.4935795576443,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,2159,489.2,3.0,6.792053777442451,66.21627789017359,9.749080331208349,15.418106494934422,14543.685140698524
89a810700bbffff,-46.4832599037726,-23.4938564688377,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,2292,597.6,5.0,7.1102539246417935,64.25103958090938,9.036391704413886,14.360911337830556,14710.299131299522
89a810700c3ffff,-46.4711195083775,-23.4974790370011,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1518,697.6,6.0,5.6533963879546105,56.935555804610786,10.071035515202919,10.296537577205717,11954.194767441875
89a810700c7ffff,-46.4741322431448,-23.4958061301335,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,2530,715.1,6.0,5.220377287857903,59.944592272843344,11.482808419282016,9.947255394611169,21019.19626898113
89a810700cbffff,-46.46801710775,-23.4960824626455,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,2793,514.5,4.0,7.9851599030841385,57.315339349942754,7.177732198926365,14.995736184196842,15482.157878702488
89a810700cfffff,-46.4710298688883,-23.4944095860463,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,2139,627.0,5.0,6.9592994975118225,58.37303132434347,8.387773991507872,17.713534694196625,14051.220420961583
89a810700d3ffff,-46.4712091487106,-23.5005483741238,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1139,615.9,5.0,8.538226190159829,59.58326641578846,6.97841273922413,11.990043342527203,5683.76241267712
89a810700d7ffff,-46.4742218973522,-23.4988755150971,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1717,1002.1,7.0,6.98180112375259,59.5487774020125,8.52914260181707,19.205977362957118,11240.441595444947
89a810700dbffff,-46.4681067335453,-23.4991518655443,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1611,675.8,5.0,9.500279031719494,60.265883144057774,6.343590850631049,10.907398727368985,6489.2384445237985
89a81070103ffff,-46.4981429201198,-23.4793501787973,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,503,240.4,1.0,7.781749823510993,69.74756006114434,8.96296612497309,26.85979600870212,2890.544920217684
89a81070107ffff,-46.5011552814562,-23.47767652045,18.0,CANGAIBA,PENHA,78.6,Alta,193,204.9,1.0,10.258344088282632,69.71393760550345,6.795827572710557,22.370424990868933,631.1130715154019
89a8107010bffff,-46.4950407697685,-23.4779538116179,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1074,490.3,3.0,4.159479048357411,66.6153856819177,16.015319444444444,19.04860324572789,10062.178145146743
89a81070113ffff,-46.49823268386,-23.4824200602581,18.0,CANGAIBA,PENHA,78.6,Alta,50,205.8,1.0,12.268990043824733,66.53915745130232,5.4233606200367745,28.310168472629616,62.96849795227368
89a8107011bffff,-46.4951305188814,-23.4810237589,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,2120,476.5,3.0,9.068328686656045,62.24212674163743,6.863682260792564,15.534905972840688,9455.266390374021
89a81070157ffff,-46.4920283423726,-23.4796273613892,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,128,428.5,2.0,5.3876230079272736,60.35941365210349,11.203347666176992,18.181011759935117,1042.0143353526955
89a81070183ffff,-46.501424616393,-23.4868859673262,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,299,689.6,6.0,3.235728076368035,74.6892522527623,23.082672737011247,22.374070068495396,3077.496946024149
89a8107018bffff,-46.4983224483829,-23.4854898279641,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,192,448.5,2.0,20.852739421347138,73.97460175876638,3.5474764377018935,14.356227832982462,0.0
89a81070193ffff,-46.5015143964173,-23.4899555554763,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1843,934.1,7.0,17.590176928062963,73.87575636082556,4.199830204263942,18.306206264157687,0.0
89a81070197ffff,-46.5045267726808,-23.4882820103648,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1733,872.6,7.0,26.600041825872655,76.96442952167146,2.893395056499936,19.6024188395181,0.0
89a8107019bffff,-46.4984122137962,-23.4885594820247,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1235,1222.5,8.0,15.772109075405577,72.39119784908716,4.589823561515385,12.588716096120617,0.0
