ds_codigo,ds_nome,ds_subpref,iptc_2025,classe_iptc,pop,hexagonos,pct60,pct60_car,penal_car,dep_pico,renda,deficit,ponto_cego
18.0,CANGAIBA,PENHA,78.6,Alta,140017.0,92.0,14.972103372947164,80.42667562450346,5.712072197197451,16.34852659180593,701.1252790732555,160849.6657361033,False
52.0,MARSILAC,PARELHEIROS,41.5,Muito Baixa,8512.0,165.0,0.03488953561575219,1.8365350901770803,128.44309635305805,7.93026311565984,337.8619243421053,114856.42061726992,False
93.0,VILA PRUDENTE,VILA PRUDENTE,71.8,Média,104890.0,91.0,27.9888893534497,97.22892484259721,3.3384192220984725,12.7806750777733,1217.8195194966156,113606.66231943721,False
5.0,ARTUR ALVIM,PENHA,71.3,Média,98128.0,57.0,15.69638273756256,76.40550249614485,5.06486780007507,14.619150753514896,746.0522501222891,77290.33312906518,False
85.0,VILA FORMOSA,ARICANDUVA-FORMOSA-CARRAO,77.7,Alta,89629.0,69.0,19.028200169631425,92.22170411871365,4.907478983896453,37.93459869720264,1280.8544165392898,47609.505264100146,False
20.0,CARRAO,ARICANDUVA-FORMOSA-CARRAO,78.5,Alta,80093.0,73.0,20.154435764561274,91.53728255221617,5.13039640128403,10.45951497337218,1244.3757394528861,46373.503837449134,False
83.0,VILA ANDRADE,CAMPO LIMPO,66.2,Baixa,121926.0,86.0,24.421343855653607,92.42304475573253,3.7256953819646457,8.460532389785167,2033.276177353477,40919.20528258109,False
27.0,CURSINO,IPIRANGA,65.6,Baixa,116134.0,91.0,31.81613015711455,98.2776954420297,3.1634322875849925,6.447374269237188,1359.4126336817815,39735.96306111302,False
41.0,JAGUARE,LAPA,66.2,Baixa,51921.0,58.0,24.615046613107015,97.24379730336216,3.752506930530068,20.130575006481696,1114.315148013328,35989.20914230065,False
40.0,JAGUARA,LAPA,60.9,Muito Baixa,27834.0,43.0,14.64697146126848,97.30846579155434,6.830688831438173,29.028417684913872,901.6481174103612,35936.535363509036,False
92.0,VILA MEDEIROS,VILA MARIA-VILA GUILHERME,77.4,Alta,130050.0,69.0,17.328708607073807,92.95704906791275,5.790863770110777,10.272917067058222,736.7855809304114,31527.83949454174,False
16.0,CAMPO GRANDE,SANTO AMARO,73.9,Alta,98084.0,102.0,22.082392218152346,91.56871289881137,4.1694503542767,10.846091425019743,1719.5553433791442,20528.048839480034,False
54.0,MORUMBI,BUTANTA,67.6,Baixa,48997.0,106.0,36.10156585304453,96.72827273078907,2.6594337183591406,4.042940701808655,3932.5565034593956,19771.220591436468,False
59.0,PENHA,PENHA,77.1,Alta,126405.0,105.0,21.961295056711148,87.7722146383949,4.039737087482748,10.437200018334707,1043.283188956133,15945.535213618645,False
91.0,VILA MATILDE,PENHA,73.3,Média,105812.0,86.0,22.013419224170192,87.81334750544985,4.384075940094262,11.924593709912978,985.852467584017,12842.777773788952,False
79.0,SOCORRO,CAPELA DO SOCORRO,76.7,Alta,36922.0,83.0,24.69637699007421,86.69666977237817,3.6727563899315365,7.290446565686711,1808.6930637560263,7039.394406330644,False
82.0,TUCURUVI,SANTANA-TUCURUVI,76.8,Alta,91320.0,82.0,31.918363408244964,94.75520686227055,3.0237082064241165,6.852087390665343,1344.8310183968463,6585.8854035218055,False
89.0,VILA MARIA,VILA MARIA-VILA GUILHERME,76.1,Alta,112392.0,106.0,26.881281264231482,96.51326608220585,3.668704866348349,13.565293397733523,817.9640152324008,4925.507427975796,False
38.0,JABAQUARA,JABAQUARA,72.6,Média,214637.0,131.0,30.519091523473488,96.48241297550773,3.2912667675286675,9.157630876504374,1276.4215051458975,4884.389091883809,False
80.0,TATUAPE,MOOCA,81.8,Alta,92225.0,82.0,34.798384105594344,97.15734123510909,2.8219763284544626,7.631369667617514,2183.774317159122,2555.416614095857,False
88.0,VILA LEOPOLDINA,LAPA,72.6,Média,40307.0,56.0,36.58741540257577,98.51661008656365,2.6520361042176464,11.829018991631333,2945.357796412534,2303.7653369914774,False
50.0,LIMAO,CASA VERDE-CACHOEIRINHA,73.3,Média,78473.0,57.0,24.22986215822608,97.21701312000043,4.172549863000819,12.31385745215311,953.5911166898168,392.8757654746464,False
94.0,VILA SONIA,BUTANTA,68.3,Baixa,108227.0,96.0,29.995568150302134,92.37062029043717,3.3353970700686006,16.560735288686786,1694.777400279043,0.0,False
